,Id,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,Quality
811,2883,5.8,0.31,0.32,4.5,24.0,28.0,94.0,0.98906,3.25,0.52,13.7,1
812,1022,6.7,0.24,0.41,2.9,39.0,48.0,122.0,0.99052,3.25,0.43,12.0,0
813,2033,9.0,0.43,0.3,1.5,0.05,7.0,175.0,0.9951,3.11,0.45,9.7,0
814,174,7.6,0.23,0.29,8.6,53.0,65.0,146.0,0.9963,3.11,0.32,9.8,1
815,2953,6.6,0.24,0.38,12.75,34.0,8.0,74.0,0.99386,3.1,0.57,12.9,1
816,4604,6.0,0.2,0.26,6.8,49.0,22.0,93.0,0.9928,3.15,0.42,11.0,1
817,2862,7.0,0.21,0.28,8.6,45.0,37.0,221.0,0.9954,3.25,0.54,10.4,1
818,4301,6.5,0.34,0.46,1.0,23.0,6.0,80.0,0.98865,3.15,0.54,12.9,1
819,4107,7.0,0.2,0.37,2.0,0.03,26.0,136.0,0.9932,3.28,0.61,10.2,1
820,4473,6.7,0.34,0.26,1.9,38.0,58.0,138.0,0.9893,3.0,0.47,12.2,1
821,3075,6.8,0.19,0.33,1.3,31.0,22.0,87.0,0.98987,3.08,0.62,12.3,1
822,2572,7.1,0.44,0.37,2.7,41.0,35.0,128.0,0.9896,3.07,0.43,13.5,1
823,1603,7.3,0.35,0.67,8.3,53.0,10.0,100.0,0.9959,3.19,0.5,10.9,0
824,2886,6.0,0.27,0.32,3.6,35.0,36.0,133.0,0.99215,3.23,0.46,10.8,1
825,1589,8.9,0.3,0.35,4.6,32.0,32.0,148.0,0.99458,3.15,0.45,11.5,1
826,2274,6.4,0.25,0.57,1.0,62.0,21.0,122.0,0.99238,3.0,0.4,9.5,0
827,1224,7.4,0.19,0.31,14.5,45.0,39.0,193.0,0.9986,3.1,0.5,9.2,1
828,2473,8.6,0.22,0.33,1.2,31.0,38.0,95.0,0.99239,2.83,0.31,10.3,0
829,4317,7.0,0.2,0.3,6.1,37.0,31.0,120.0,0.9939,3.24,0.51,10.8,0
830,4164,7.7,0.32,0.61,11.8,41.0,66.0,188.0,0.99794,3.0,0.54,9.3,0
831,1554,6.5,0.3,0.28,11.45,41.0,29.0,109.0,0.99418,2.98,0.3,10.9,1
832,1742,6.2,0.25,0.38,7.9,45.0,54.0,208.0,0.99572,3.17,0.46,9.1,0
833,3398,6.2,0.33,0.19,5.6,42.0,22.0,143.0,0.99425,3.15,0.63,9.9,0
834,3901,6.0,0.25,0.28,7.7,53.0,37.0,132.0,0.99489,3.06,0.5,9.4,1
835,4226,7.0,0.12,0.32,7.2,58.0,22.0,89.0,0.9966,3.29,0.38,9.2,1
836,2503,6.1,0.32,0.33,10.7,36.0,27.0,98.0,0.99521,3.34,0.52,10.2,1
837,922,8.4,0.27,0.46,8.7,48.0,39.0,197.0,0.9974,3.14,0.59,9.6,1
838,3684,7.4,0.44,0.2,11.5,49.0,44.0,157.0,0.998,3.27,0.44,9.0,0
840,2550,6.7,0.5,0.36,11.5,96.0,18.0,92.0,0.99642,3.11,0.49,9.6,0
841,381,7.6,0.23,0.4,5.2,66.0,14.0,91.0,0.99488,3.17,0.8,9.7,0
842,788,7.0,0.32,0.34,1.3,42.0,20.0,69.0,0.9912,3.31,0.65,12.0,1
843,3610,6.8,0.23,0.3,1.7,43.0,19.0,95.0,0.99207,3.17,0.46,10.7,1
845,1552,6.8,0.28,0.29,11.9,52.0,51.0,149.0,0.99544,3.02,0.58,10.4,1
846,2208,6.4,0.28,0.23,6.0,51.0,50.0,162.0,0.994,3.15,0.52,10.2,0
847,503,7.3,0.18,0.65,1.4,46.0,28.0,157.0,0.9946,3.33,0.62,9.4,1
848,1895,6.9,0.22,0.32,9.3,0.04,22.0,110.0,0.9958,3.34,0.54,10.7,1
849,709,6.9,0.22,0.37,15.0,53.0,59.0,178.0,0.9992,3.37,0.82,9.5,1
850,915,5.3,0.26,0.23,5.15,34.0,48.0,160.0,0.9952,3.82,0.51,10.5,1
851,3074,7.2,0.24,0.4,1.4,45.0,31.0,106.0,0.9914,2.88,0.38,10.8,1
852,2580,6.9,0.29,0.23,8.6,56.0,56.0,215.0,0.9967,3.17,0.44,8.8,0
853,3926,5.5,0.32,0.45,4.9,28.0,25.0,191.0,0.9922,3.51,0.49,11.5,1
854,526,6.7,0.2,0.3,1.4,25.0,17.0,76.0,0.99104,3.11,0.44,11.0,1
856,1859,6.9,0.32,0.15,8.1,46.0,51.0,180.0,0.9958,3.13,0.45,8.9,0
857,2060,7.6,0.13,0.34,9.3,62.0,40.0,126.0,0.9966,3.21,0.39,9.6,0
858,4221,6.7,0.19,0.39,1.0,32.0,14.0,71.0,0.98912,3.31,0.38,13.0,1
859,4031,7.7,0.18,0.53,1.2,41.0,42.0,167.0,0.9908,3.11,0.44,11.9,0
860,4411,7.8,0.39,0.26,9.9,59.0,33.0,181.0,0.9955,3.04,0.42,10.9,1
861,3436,6.4,0.24,0.32,14.9,47.0,54.0,162.0,0.9968,3.28,0.5,10.2,1
862,1101,6.2,0.33,0.41,16.8,37.0,58.0,173.0,0.99882,3.25,0.57,9.4,1
863,2900,6.4,0.22,0.56,14.5,55.0,27.0,159.0,0.998,2.98,0.4,9.1,0
864,4005,6.9,0.28,0.4,8.2,36.0,15.0,95.0,0.9944,3.17,0.33,10.2,0
865,3818,7.3,0.22,0.49,9.4,34.0,29.0,134.0,0.9939,2.99,0.32,11.0,1
866,1896,7.6,0.31,0.52,13.2,42.0,61.0,148.0,0.99839,2.98,0.47,9.1,1
867,983,6.6,0.26,0.24,7.2,38.0,28.0,137.0,0.9952,3.35,0.6,10.4,1
868,4583,5.2,0.44,0.04,1.4,36.0,43.0,119.0,0.9894,3.36,0.33,12.1,1
869,4220,6.1,0.16,0.27,12.6,64.0,63.0,162.0,0.9994,3.66,0.43,8.9,0
870,4563,5.5,0.28,0.21,1.6,32.0,23.0,85.0,0.99027,3.42,0.42,12.5,0
871,507,6.5,0.21,0.28,1.4,46.0,26.0,66.0,0.99199,3.43,0.48,11.1,1
872,3288,7.4,0.19,0.49,6.7,37.0,15.0,110.0,0.9938,3.2,0.38,11.0,1
873,4335,6.0,0.24,0.32,6.3,0.03,34.0,129.0,0.9946,3.52,0.41,10.4,0
874,4457,6.2,0.25,0.31,3.2,0.03,32.0,150.0,0.99014,3.18,0.31,12.0,1
875,486,6.7,0.27,0.12,1.3,41.0,62.0,138.0,0.9921,3.21,0.42,10.0,1
876,3331,5.2,0.5,0.18,2.0,36.0,23.0,129.0,0.98949,3.36,0.77,13.4,1
877,2418,7.8,0.26,0.44,1.3,37.0,43.0,132.0,0.9944,3.18,0.65,10.0,0
878,4101,6.9,0.43,0.28,9.4,56.0,29.0,183.0,0.99594,3.17,0.43,9.4,0
879,2384,5.6,0.695,0.06,6.8,42.0,9.0,84.0,0.99432,3.44,0.44,10.2,0
880,3947,5.8,0.13,0.26,5.1,39.0,19.0,103.0,0.99478,3.36,0.47,9.3,1
881,2985,7.9,0.16,0.3,7.4,0.05,58.0,152.0,0.99612,3.12,0.37,9.5,1
882,3579,7.2,0.28,0.3,10.7,44.0,61.0,222.0,0.9972,3.14,0.5,9.1,1
883,2494,6.7,0.18,0.31,10.6,35.0,42.0,143.0,0.99572,3.08,0.49,9.8,1
884,1718,6.6,0.29,0.29,1.8,36.0,38.0,102.0,0.98819,3.08,0.42,13.7,1
885,3560,6.6,0.32,0.47,15.6,63.0,27.0,173.0,0.99872,3.18,0.56,9.0,0
886,2522,7.0,0.16,0.26,7.3,47.0,30.0,220.0,0.99622,3.38,0.58,10.1,1
887,4276,6.6,0.36,0.52,10.1,0.05,29.0,140.0,0.99628,3.07,0.4,9.4,0
888,3952,6.2,0.35,0.29,7.3,44.0,56.0,244.0,0.9956,3.36,0.55,10.0,1
889,59,7.3,0.19,0.27,13.9,57.0,45.0,155.0,0.99807,2.94,0.41,8.8,1
890,3959,6.6,0.425,0.25,2.35,34.0,23.0,87.0,0.99082,3.05,0.41,11.4,1
891,1920,6.8,0.27,0.3,13.0,47.0,69.0,160.0,0.99705,3.16,0.5,9.6,1
892,227,6.8,0.22,0.36,1.2,52.0,38.0,127.0,0.9933,3.04,0.54,9.2,0
893,2791,7.2,0.23,0.38,14.3,58.0,55.0,194.0,0.9979,3.09,0.44,9.0,1
894,4042,6.5,0.26,0.32,6.65,59.0,34.0,104.0,0.99254,3.18,0.42,11.1,0
895,1294,7.2,0.27,0.37,5.4,26.0,27.0,114.0,0.99174,3.13,0.84,12.7,0
896,1431,7.0,0.13,0.37,12.85,42.0,36.0,105.0,0.99581,3.05,0.55,10.7,1
897,3454,6.6,0.22,0.35,1.4,0.05,23.0,83.0,0.99019,3.17,0.48,12.0,1
898,2393,6.4,0.24,0.28,11.5,0.05,34.0,163.0,0.9969,3.31,0.45,9.5,0
899,3241,8.3,0.28,0.27,17.5,45.0,48.0,253.0,1.00014,3.02,0.56,9.1,1
900,1550,7.5,0.33,0.36,2.6,51.0,26.0,126.0,0.99097,3.32,0.53,12.7,1
901,2644,7.6,0.23,0.64,12.9,33.0,54.0,170.0,0.998,3.0,0.53,8.8,0
902,740,7.2,0.23,0.32,8.5,58.0,47.0,186.0,0.9956,3.19,0.4,9.9,1
903,1980,7.2,0.46,0.65,10.4,0.05,76.0,192.0,0.9976,3.16,0.42,8.7,0
904,3374,7.0,0.2,0.74,0.8,44.0,19.0,163.0,0.9931,3.46,0.53,10.2,0
905,4154,7.0,0.29,0.37,4.9,34.0,26.0,127.0,0.9928,3.17,0.44,10.8,1
906,1146,6.4,0.105,0.29,1.1,35.0,44.0,140.0,0.99142,3.17,0.55,10.7,1
907,1610,8.9,0.13,0.49,1.0,28.0,6.0,24.0,0.9926,2.91,0.32,9.9,0
908,3321,6.6,0.25,0.35,2.9,34.0,38.0,121.0,0.99008,3.19,0.4,12.8,1
909,4472,6.0,0.2,0.26,14.7,45.0,53.0,125.0,0.998365,2.99,0.69,9.4,1
910,1639,7.1,0.39,0.35,12.5,44.0,26.0,72.0,0.9941,3.17,0.29,11.6,0
911,3119,8.0,0.2,0.4,5.2,55.0,41.0,167.0,0.9953,3.18,0.4,10.6,1
912,906,5.5,0.14,0.27,4.6,29.0,22.0,104.0,0.9949,3.34,0.44,9.0,0
913,1435,7.2,0.16,0.32,0.8,0.04,50.0,121.0,0.9922,3.27,0.33,10.0,1
914,450,6.6,0.28,0.34,0.8,37.0,42.0,119.0,0.9888,3.03,0.37,12.5,1
915,872,6.4,0.27,0.32,4.5,0.24,61.0,174.0,0.9948,3.12,0.48,9.4,0
916,2570,7.6,0.22,0.28,12.0,56.0,68.0,143.0,0.9983,2.99,0.3,9.2,1
917,3712,8.0,0.45,0.28,10.8,51.0,25.0,157.0,0.9957,3.06,0.47,11.4,1
918,3109,6.8,0.37,0.28,4.0,0.03,29.0,79.0,0.99,3.23,0.46,12.4,1
919,4552,6.7,0.22,0.39,1.2,49.0,26.0,152.0,0.99346,3.5,0.47,10.0,1
920,1960,6.3,0.23,0.31,1.5,22.0,11.0,82.0,0.9892,3.3,0.4,12.9,1
921,684,6.5,0.32,0.48,8.0,26.0,18.0,88.0,0.99144,3.22,0.79,12.7,0
923,3802,7.8,0.28,0.34,1.6,28.0,32.0,118.0,0.9901,3.0,0.38,12.1,1
924,3611,7.8,0.27,0.58,11.2,36.0,44.0,161.0,0.9977,3.06,0.41,8.9,1
925,1956,6.9,0.23,0.35,6.9,0.03,45.0,116.0,0.99244,2.8,0.54,11.0,1
926,4006,7.0,0.53,0.43,6.1,29.0,6.0,76.0,0.99118,3.08,0.5,12.5,1
927,2966,7.4,0.19,0.3,12.8,53.0,48.5,229.0,0.9986,3.14,0.49,9.1,1
928,1868,8.0,0.17,0.29,2.4,29.0,52.0,119.0,0.98944,3.03,0.33,12.9,1
929,4485,7.3,0.32,0.23,13.7,0.05,49.0,197.0,0.9985,3.2,0.46,8.7,0
930,4635,7.3,0.28,0.54,12.9,49.0,62.0,162.5,0.9984,3.06,0.45,9.1,1
931,1775,6.7,0.34,0.31,16.4,51.0,20.0,146.0,0.99834,3.06,0.54,9.1,0
932,4439,6.9,0.32,0.27,16.0,34.0,58.0,185.0,0.99938,3.34,0.6,9.0,1
933,1995,6.3,0.35,0.3,5.7,35.0,8.0,97.0,0.9927,3.27,0.41,11.0,1
934,2192,6.7,0.42,0.39,12.1,0.04,61.0,248.0,0.99794,3.31,0.58,9.7,0
935,2455,6.4,0.27,0.3,1.6,0.04,19.0,86.0,0.99089,3.32,0.65,11.5,1
936,3555,6.9,0.29,0.25,12.2,0.04,29.0,136.0,0.99552,3.05,0.65,10.4,1
937,4127,6.6,0.32,0.22,16.7,46.0,38.0,133.0,0.9979,3.22,0.67,10.4,1
938,984,7.8,0.32,0.33,10.4,31.0,34.86378539493293,194.0,0.99692,3.07,0.58,9.6,1
939,952,7.5,0.23,0.68,11.0,47.0,37.0,133.0,0.9978,2.99,0.38,8.8,0
940,1616,7.5,0.23,0.32,9.2,38.0,54.0,191.0,0.9966,3.04,0.56,9.7,1
941,1584,5.6,0.34,0.1,1.3,31.0,20.0,68.0,0.9906,3.36,0.51,11.2,1
942,1453,7.8,0.32,0.33,10.4,31.0,47.0,194.0,0.99692,3.07,0.58,9.6,1
943,2108,5.9,0.23,0.28,8.6,46.0,37.0,142.0,0.99432,3.23,0.53,10.6,1
944,1384,6.9,0.32,0.26,8.3,53.0,32.0,180.0,0.9965,3.25,0.51,9.2,1
946,4082,5.9,0.29,0.28,3.2,35.0,16.0,117.0,0.98959,3.26,0.42,12.6,1
947,2314,6.6,0.2,0.27,10.9,38.0,29.0,130.0,0.99496,3.11,0.44,10.5,1
948,610,6.7,0.41,0.01,2.8,48.0,39.0,137.0,0.9942,3.24,0.35,9.5,0
949,4615,6.3,0.25,0.53,1.8,21.0,41.0,101.0,0.989315,3.19,0.31,13.0,1
950,304,6.0,0.22,0.28,1.1,34.0,47.0,90.0,0.98862,3.22,0.38,12.6,1
951,283,7.7,0.44,0.24,11.2,31.0,41.0,167.0,0.9948,3.12,0.43,11.3,1
952,2554,6.5,0.08,0.33,1.9,28.0,23.0,93.0,0.991,3.34,0.7,12.0,1
953,3592,7.1,0.29,0.34,7.8,36.0,49.0,128.0,0.99397,3.21,0.4,10.7,1
954,2932,7.0,0.15,0.28,14.7,51.0,29.0,149.0,0.99792,2.96,0.39,9.0,1
955,4024,6.1,0.28,0.32,2.5,42.0,23.0,218.5,0.9935,3.27,0.6,9.8,0
956,2552,6.2,0.345,0.27,10.1,56.0,38.0,187.0,0.99486,3.31,0.56,10.6,0
957,1278,7.1,0.14,0.35,1.4,39.0,24.0,128.0,0.99212,2.97,0.68,10.4,0
958,2380,7.0,0.32,0.29,4.9,36.0,41.0,150.0,0.99168,3.38,0.43,12.2,1
960,460,7.0,0.3,0.51,13.6,0.05,40.0,168.0,0.9976,3.07,0.52,9.6,1
961,2894,6.4,0.26,0.42,9.7,44.0,30.0,140.0,0.9962,3.18,0.47,9.1,1
962,3205,7.3,0.27,0.3,1.3,0.04,26.0,84.0,0.99222,3.28,0.53,10.7,1
963,1538,8.1,0.17,0.44,14.1,53.0,43.0,145.0,1.0006,3.28,0.75,8.8,1
964,2395,8.0,0.2,0.3,8.1,37.0,42.0,130.0,0.99379,3.1,0.67,11.8,1
965,2125,7.6,0.36,0.48,13.5,38.0,44.0,116.0,0.9982,3.04,0.48,9.2,0
967,1459,7.0,0.24,0.3,6.7,39.0,37.0,125.0,0.99436,3.2,0.39,9.9,0
968,1462,6.7,0.31,0.09,1.4,39.0,53.0,141.0,0.99206,3.12,0.44,10.1,0
969,1135,7.8,0.25,0.28,7.2,0.04,46.0,179.0,0.99541,3.14,0.6,10.1,1
970,358,8.8,0.23,0.35,10.7,0.04,26.0,183.0,0.9984,2.93,0.49,9.1,1
971,2675,7.0,0.23,0.36,13.0,51.0,72.0,177.0,0.9972,3.16,0.49,9.8,0
972,3276,6.8,0.33,0.31,7.4,45.0,34.0,143.0,0.99226,3.06,0.55,12.2,1
973,2048,6.5,0.28,0.27,5.2,0.04,44.0,179.0,0.9948,3.19,0.69,9.4,1
974,485,6.2,0.35,0.2,18.1,69.0,33.0,158.0,0.99908,3.15,0.5,8.8,1
975,3324,6.4,0.32,0.35,4.8,0.03,34.0,101.0,0.9912,3.36,0.6,12.5,1
976,1458,7.6,0.31,0.23,12.7,54.0,20.0,139.0,0.99836,3.16,0.5,9.7,0
977,4450,6.6,0.23,0.26,1.3,45.0,16.0,128.0,0.9934,3.36,0.6,10.0,1
978,4374,6.7,0.28,0.28,2.4,12.0,36.0,100.0,0.99064,3.26,0.39,11.7,1
979,1640,6.4,0.22,0.34,1.4,23.0,56.0,115.0,0.98958,3.18,0.7,11.7,1
980,1593,7.0,0.22,0.33,2.1,52.0,15.0,76.0,0.993,3.2,0.41,10.6,1
981,1533,8.4,0.22,0.3,8.9,24.0,17.0,118.0,0.99456,2.99,0.34,10.5,1
982,1154,7.1,0.25,0.28,1.2,0.04,31.0,111.0,0.99174,3.18,0.53,11.1,0
983,519,7.0,0.29,0.54,10.7,46.0,59.0,234.0,0.9966,3.05,0.61,9.5,0
984,2901,5.8,0.315,0.19,19.4,31.0,28.0,106.0,0.99704,2.97,0.4,10.55,1
985,3085,8.2,0.38,0.49,13.6,42.0,58.0,166.0,0.99855,3.1,0.54,9.4,0
986,708,7.1,0.64,0.49,1.8,0.05,17.0,128.0,0.9946,3.31,0.58,10.6,0
987,1677,7.1,0.28,0.26,2.8,39.0,50.0,118.0,0.9908,3.06,0.59,11.2,1
988,927,6.6,0.56,0.16,3.1,45.0,28.0,92.0,0.994,3.12,0.35,9.1,1
989,4620,8.0,0.16,0.36,1.5,33.0,14.0,122.0,0.9941,3.2,0.39,10.3,0
990,2818,5.7,0.28,0.3,3.9,26.0,36.0,105.0,0.98963,3.26,0.58,12.75,1
991,1014,6.3,0.41,0.3,3.2,0.03,49.0,164.0,0.9927,3.53,0.79,11.7,1
992,1850,5.8,0.28,0.34,2.2,37.0,24.0,125.0,0.98986,3.36,0.33,12.8,1
994,4518,6.6,0.23,0.32,1.7,24.0,26.0,102.0,0.99084,3.29,0.6,11.8,1
995,4111,6.6,0.21,0.49,18.15,42.0,41.0,158.0,0.9997,3.28,0.39,8.7,1
996,52,6.5,0.14,0.32,2.7,37.0,18.0,89.0,0.9924,3.4,0.74,11.5,1
997,3636,7.4,0.34,0.28,12.1,49.0,31.0,149.0,0.99677,3.22,0.49,10.3,0
998,2884,7.2,0.23,0.39,2.3,33.0,29.0,102.0,0.9908,3.26,0.54,12.3,1
999,3803,7.3,0.22,0.37,14.3,63.0,48.0,191.0,0.9978,2.89,0.38,9.0,1
1000,2706,6.9,0.19,0.39,8.0,28.0,22.0,84.0,0.994,3.11,0.66,10.8,1
1001,1692,5.8,0.27,0.2,7.3,0.04,42.0,145.0,0.99442,3.15,0.48,9.8,0
1002,130,7.8,0.25,0.37,1.0,43.0,10.0,80.0,0.99128,3.08,0.38,11.4,0
1004,1461,6.6,0.28,0.42,8.2,44.0,60.0,196.0,0.99562,3.14,0.48,9.4,0
1005,4184,6.3,0.37,0.37,1.5,24.0,12.0,76.0,0.98876,2.94,0.39,12.3,1
1006,3845,6.0,0.31,0.27,2.3,42.0,19.0,120.0,0.98952,3.32,0.41,12.7,1
1007,37,6.0,0.16,0.27,12.0,0.03,39.0,98.0,0.99402,3.15,0.34,10.8,0
1008,93,7.6,0.31,0.49,3.95,44.0,27.0,131.0,0.9912,3.08,0.67,12.8,1
1009,3961,7.2,0.24,0.28,1.9,32.0,30.0,92.0,0.9914,3.1,0.39,10.9,1
1010,4649,6.3,0.24,0.29,1.6,52.0,48.0,185.0,0.9934,3.21,0.5,9.4,0
1011,418,4.4,0.32,0.39,4.3,0.03,31.0,127.0,0.98904,3.46,0.36,12.8,1
1012,1646,6.0,0.31,0.27,2.3,42.0,19.0,120.0,0.98952,3.32,0.41,12.7,1
1013,1493,8.0,0.28,0.3,8.4,0.03,35.0,115.0,0.99192,2.93,0.42,12.3,1
1014,4255,7.3,0.19,0.27,13.9,57.0,45.0,155.0,0.99807,2.94,0.41,8.8,1
1015,1424,6.4,0.16,0.42,1.0,36.0,29.0,113.0,0.9908,3.18,0.52,11.0,1
1016,2024,7.8,0.22,0.38,10.3,59.0,28.0,99.0,0.9967,3.12,0.47,10.0,1
1017,847,6.3,0.24,0.22,11.9,0.05,65.0,179.0,0.99659,3.06,0.58,9.3,1
1018,173,5.7,0.25,0.26,12.5,49.0,52.5,106.0,0.99691,3.08,0.45,9.4,1
1019,3513,6.3,0.27,0.23,2.9,47.0,13.0,100.0,0.9936,3.28,0.43,9.8,0
1020,4020,7.0,0.17,0.37,5.7,25.0,29.0,111.0,0.9938,3.2,0.49,10.8,1
1021,2185,6.0,0.45,0.42,1.1,51.0,61.0,197.0,0.9932,3.02,0.4,9.0,0
1022,3408,6.4,0.24,0.29,11.4,51.0,32.0,166.0,0.9968,3.31,0.45,9.5,0
1023,3870,8.0,0.23,0.37,9.6,54.0,23.0,159.0,0.99795,3.32,0.47,10.514612634088232,0
1024,4182,6.6,0.12,0.25,1.4,39.0,21.0,131.0,0.99114,3.2,0.45,11.2,1
1025,3655,6.4,0.22,0.32,7.2,28.0,15.0,83.0,0.993,3.13,0.55,10.9,1
1026,319,8.9,0.32,0.49,1.6,0.05,17.0,131.0,0.9956,3.13,0.34,9.4,0
1027,3835,6.9,0.43,0.28,9.4,56.0,29.0,183.0,0.99594,3.17,0.43,9.4,0
1028,473,7.6,0.33,0.41,13.7,45.0,44.0,197.0,0.9989,3.18,0.64,9.1,0
1029,818,7.8,0.28,0.32,9.0,36.0,34.0,115.0,0.9952,3.17,0.39,10.3,1
1030,1215,6.9,0.25,0.29,2.4,38.0,28.0,76.0,0.99088,3.01,0.36,11.7,1
1031,2201,5.9,0.54,0.0,0.8,32.0,12.0,82.0,0.99286,3.25,0.36,8.8,0
1032,712,8.0,0.36,0.43,10.1,53.0,29.0,146.0,0.9982,3.4,0.46,9.5,1
1033,1020,7.4,0.2,0.37,16.95,48.0,43.0,190.0,0.9995,3.03,0.42,9.2,1
1034,293,6.8,0.24,0.34,4.6,32.0,37.0,135.0,0.9927,3.2,0.39,10.6,0
1035,2310,8.7,0.23,0.32,13.4,44.0,35.0,169.0,0.99975,3.12,0.47,8.8,1
1036,3102,6.7,0.27,0.25,8.0,53.0,54.0,202.0,0.9961,3.22,0.43,9.3,0
1037,4023,7.1,0.26,0.34,14.4,67.0,35.0,189.0,0.9986,3.07,0.53,9.1,1
1038,3632,6.6,0.39,0.38,9.7,53.0,49.0,226.0,0.99787,3.3,0.57,9.4,1
1039,4341,7.7,0.39,0.34,10.0,56.0,35.0,178.0,0.9974,3.26,0.6,10.2,0
1040,2699,6.1,0.23,0.45,10.6,94.0,49.0,169.0,0.99699,3.05,0.54,8.8,0
1041,1613,6.6,0.22,0.37,1.6,0.04,31.0,101.0,0.99009,3.15,0.66,12.0,0
1042,749,7.0,0.23,0.32,1.8,48.0,25.0,113.0,0.9915,3.11,0.47,11.1,1
1043,939,6.7,0.3,0.44,18.75,57.0,65.0,224.0,0.99956,3.11,0.53,9.1,0
1044,1566,8.4,0.35,0.71,12.2,46.0,22.0,160.0,0.9982,2.98,0.65,9.4,0
1045,356,6.0,0.555,0.26,4.5,53.0,17.0,126.0,0.9943,3.24,0.46,9.1,0
1046,120,7.2,0.47,0.65,8.3,83.0,27.0,182.0,0.9964,3.0,0.35,9.2,0
1047,2285,5.7,0.16,0.26,6.3,43.0,28.0,113.0,0.9936,3.06,0.58,9.9,1
1048,3924,7.1,0.12,0.32,9.6,54.0,64.0,162.0,0.9962,3.4,0.41,9.4,0
1049,2962,6.0,0.18,0.27,1.5,89.0,40.0,143.0,0.9923,3.49,0.62,10.8,1
1050,3774,9.2,0.16,0.49,2.0,44.0,18.0,107.0,0.99514,3.1,0.53,10.2,0
1051,1687,6.0,0.26,0.29,3.1,41.0,37.0,144.0,0.98944,3.22,0.39,12.8,1
1052,4291,7.1,0.46,0.23,13.7,45.0,44.0,192.0,0.9981,3.11,0.53,9.4,0
1053,2789,7.8,0.28,0.49,1.3,46.0,27.0,142.0,0.9936,3.09,0.59,10.2,0
1054,1377,7.0,0.15,0.34,1.4,39.0,21.0,177.0,0.9927,3.32,0.62,10.8,0
1055,4345,6.6,0.25,0.51,8.0,47.0,61.0,189.0,0.99604,3.22,0.49,9.2,0
1057,3501,6.8,0.18,0.28,9.8,39.0,29.0,113.0,0.99406,3.11,0.45,10.9,1
1058,1622,7.4,0.18,0.3,8.8,64.0,26.0,103.0,0.9961,2.94,0.56,9.3,0
1059,1116,7.9,0.28,0.41,2.0,44.0,50.0,152.0,0.9934,3.45,0.49,10.7,1
1060,3088,6.6,0.33,0.31,1.3,0.02,29.0,89.0,0.99035,3.26,0.44,12.4,1
1061,2543,5.8,0.23,0.27,1.8,43.0,24.0,69.0,0.9933,3.38,0.31,9.4,1
1062,3893,6.2,0.12,0.26,5.7,44.0,56.0,158.0,0.9951,3.52,0.37,10.5,1
1063,867,6.1,0.17,0.28,4.5,33.0,46.0,150.0,0.9933,3.43,0.49,10.9,1
1064,1883,6.3,0.23,0.21,5.1,35.0,29.0,142.0,0.9942,3.36,0.33,10.1,1
1065,2709,7.3,0.19,0.27,13.9,57.0,45.0,155.0,0.99807,2.94,0.41,8.8,1
1066,1793,8.7,0.49,0.57,17.8,52.0,34.0,243.0,1.0007,2.98,0.82,9.0,0
1067,1710,8.2,0.21,0.48,1.4,41.0,11.0,99.0,0.9958,3.17,0.57,9.9,0
1068,1806,5.6,0.22,0.32,1.2,24.0,29.0,97.0,0.98823,3.2,0.46,13.05,1
1069,2184,7.2,0.14,0.35,1.2,36.0,15.0,73.0,0.9938,3.46,0.39,9.9,0
1070,1769,7.0,0.32,0.35,1.5,39.0,24.0,125.0,0.9918,3.17,0.64,12.2,1
1071,700,8.0,0.34,0.49,9.0,33.0,39.0,180.0,0.9936,3.13,0.38,12.3,1
1072,4397,8.5,0.19,0.48,1.1,26.0,23.0,58.0,0.99184,2.9,0.5,10.5,1
1073,3172,6.3,0.27,0.51,7.6,49.0,35.0,200.0,0.99548,3.16,0.54,9.4,0
1074,273,6.5,0.28,0.34,9.9,38.0,30.0,133.0,0.9954,3.11,0.44,9.8,0
1075,4021,7.2,0.32,0.47,5.1,44.0,19.0,65.0,0.991,3.03,0.41,12.6,0
1076,3098,6.5,0.29,0.3,9.15,51.0,25.0,166.0,0.99339,3.24,0.56,11.35,1
1077,1173,7.0,0.16,0.26,6.85,47.0,30.0,220.0,0.99622,3.38,0.58,10.1,1
1079,1678,7.7,0.31,0.23,2.0,69.0,29.0,134.0,0.99382,3.11,0.62,9.8,0
1080,2715,6.4,0.595,0.14,5.2,58.0,15.0,97.0,0.9951,3.38,0.36,9.0,0
1081,4074,7.1,0.23,0.35,16.5,0.04,60.0,171.0,0.999,3.16,0.59,9.1,1
1082,3460,8.5,0.21,0.26,9.25,34.0,73.0,142.0,0.9945,3.05,0.37,11.4,1
1083,3389,6.5,0.23,0.39,1.9,36.0,41.0,98.0,0.99,3.19,0.43,11.9,1
1084,4244,6.6,0.38,0.15,4.6,44.0,25.0,78.0,0.9931,3.11,0.38,10.2,1
1085,4653,7.1,0.39,0.39,11.1,34.0,25.0,204.0,0.99616,3.05,0.52,10.0,1
1086,904,7.5,0.3,0.32,1.4,32.0,31.0,161.0,0.99154,2.95,0.42,10.5,0
1087,3542,9.4,0.26,0.53,1.2,47.0,25.0,109.0,0.9921,3.23,0.28,12.5,1
1088,1454,6.8,0.37,0.51,11.8,44.0,62.0,163.0,0.9976,3.19,0.44,8.8,0
